# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.2318 0.46875 1.4671587914141126e-07 1.6976871118760394e-08 1.5350728963958737e-08 2.288796698503217e-08
0.305 0.46875 3.1253875332544683e-07 1.88290385455574e-08 3.5412498398449155e-08 4.010707836991184e-08
0.3782 0.46875 5.53937147227581e-07 2.4962918925121782e-08 6.792926134569363e-08 7.237079430428928e-08
0.4514 0.46875 8.534638983460446e-07 3.6550845381441364e-08 3.9041754326545343e-08 5.348105158831823e-08
0.5246 0.46875 1.1672561616254042e-06 5.2283567997391305e-08 5.4903034927067505e-08 7.58150033089799e-08
0.5978 0.46875 1.4406592109501589e-06 6.650695868561606e-08 1.560358246501586e-07 1.696182600071858e-07
0.671 0.46875 1.6282483147568606e-06 7.260986413009031e-08 1.8559152757755944e-07 1.9928975758317882e-07
0.7442 0.46875 1.7068136258722818e-06 7.277373056269476e-08 1.0782026850519418e-07 1.300816134607188e-07
0.8174 0.46875 1.67744443231641e-06 7.798641769124958e-08 4.326005704605573e-08 8.918135388040509e-08
