# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.24314999999999998 0.9375 2.2231467759099473e-10 7.608960139309394e-11 6.856550450184299e-11 1.0242487904680276e-10 0.0001760181286216063
0.3242 0.9375 1.0349019636296837e-09 3.4812838303620737e-10 6.842320793363686e-11 3.5478881952414175e-10 5.3732929189205206e-05
0.4863 0.109375 8.028418404802546e-09 1.939665976429139e-09 2.5108914261698636e-09 3.1728346717297037e-09 0.0002774931642255221
0.6484000000000001 0.109375 4.804196366168702e-08 3.3183391889481483e-09 6.901451711288389e-09 7.657767997018092e-09 0.0037134031465972674
0.8105 0.9375 9.59914146520933e-08 3.9114559798997394e-09 2.210940922011954e-09 4.493077747304235e-09 0.03532478161632208
0.9726000000000001 0.6875 1.1093655709590956e-07 5.340213796746919e-09 4.35213089837772e-09 6.889043964991094e-09 0.09376326290200891
1.1347 0.171875 8.665356723925183e-08 9.158327360282966e-09 1.6038265213179177e-08 1.8468917431359666e-08 0.1577313583645225
1.2968000000000002 0.109375 4.917078899551106e-08 1.1825751949379149e-08 1.2305560825546692e-08 1.706678752429625e-08 0.41036963172944424
1.4589 0.109375 1.927306532994696e-08 1.0055653501655952e-08 3.156402579524321e-08 3.312708697951186e-08 0.5921636487842292
