# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.30616 0.9375 4.512400645837251e-09 9.130761867937296e-10 5.825820149896344e-10 1.0831019929254865e-09 6.48111222700732e-05
0.45924000000000004 0.109375 2.9257115803240112e-08 3.746165197876661e-09 1.0345007716306724e-08 1.1002406025057789e-08 0.0004030984627634562
0.61232 0.6875 1.1843874450203979e-07 6.0736259801006874e-09 1.6144417429382423e-09 6.284532972902243e-09 0.005454847528105397
0.7654000000000001 0.109375 2.476235614007745e-07 1.4198571343445299e-08 2.3638577445165856e-08 2.7575020794661423e-08 0.021618361711588763
0.9184800000000002 0.6875 2.650762075542716e-07 1.1362953981059305e-08 1.1605893033326558e-08 1.6242335924265618e-08 0.1014274352072984
1.07156 0.1875 2.0237156968286704e-07 1.527688162271275e-08 2.7952011133482435e-08 3.1854325271785374e-08 0.1701808097651435
1.2246400000000002 0.109375 8.933458775623722e-08 2.5612528061896298e-08 3.491967835191009e-09 2.5849476456660276e-08 0.4114084787741256
1.37772 0.109375 2.327252290084629e-08 2.510943203345439e-08 1.5069055773404428e-08 2.928412571590005e-08 0.5839179457701177
1.5308000000000002 0.109375 4.846321271691401e-09 1.9355059622195452e-08 1.4784579948512267e-08 2.4355741360769368e-08 0.7211180226405113
1.68388 0.109375 1.3914959834762981e-08 1.8948504754645565e-08 1.1369050236453936e-08 2.2097536869883006e-08 0.8569425084080048
