# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.12248999999999999 0.1375 2.109118934461962e-08 5.61730678825857e-09 1.6608951459019295e-08 1.7533151574131644e-08
0.20755249999999997 0.1375 1.1855936994996651e-07 5.890895101227445e-09 6.732275674453036e-09 8.945735344313378e-09
0.29261499999999996 0.1375 3.156020259729516e-07 1.286422086996569e-08 5.2985873424529794e-09 1.3912699465483459e-08
0.37767749999999994 0.1375 5.03461889430798e-07 3.044129581718726e-08 1.3104244634777245e-08 3.314202345176876e-08
0.46273999999999993 0.1375 5.267573257877429e-07 3.885326999363472e-08 1.2481622118385198e-08 4.080891422109192e-08
0.5478025 0.1375 4.3384563814971105e-07 5.7982874206407685e-08 2.2857979108737698e-08 6.232576441706582e-08
0.6328649999999999 0.1375 3.736485125817006e-07 7.280545863053261e-08 3.1657953931799207e-08 7.939055896988078e-08
0.7179274999999998 0.1375 3.7596471193395476e-07 7.933241042990412e-08 7.77829708401777e-09 7.971281735170324e-08
0.8029899999999999 0.1375 3.782658037891906e-07 7.798123108355167e-08 4.283786791045786e-08 8.897277858098014e-08
0.8880524999999999 0.1375 3.4014088136781124e-07 7.414564874245524e-08 3.716240768486299e-08 8.293745699245618e-08
0.9731149999999998 0.1375 2.687131846278905e-07 7.829106139691751e-08 5.525740506728173e-09 7.848582103032116e-08
1.0581774999999998 0.1375 1.8825951759184732e-07 8.12516325880259e-08 2.2864094587860866e-08 8.440731377992194e-08
1.1432399999999998 0.1375 1.1692781295214768e-07 7.456378814883642e-08 3.417858061705318e-08 8.202398354201632e-08
