# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.186549 0.9375 7.233919944968032e-08 3.7468838899169303e-10 5.038347566041491e-11 3.7806068754211125e-10 0.0014111650324080312
0.248732 0.109375 9.04887100411035e-08 1.3512255704024035e-09 2.0016992530615005e-09 2.4150798002998305e-09 0.0015183467340685957
0.310915 0.9375 1.230482786029031e-07 2.0838395238666786e-09 2.023371277898498e-09 2.9045513404747223e-09 0.0025685515085680237
0.43528100000000003 0.9375 2.5303815208254533e-07 3.447614554459735e-09 2.9765968582858443e-09 4.554796918950367e-09 0.017231884904713276
0.559647 0.109375 4.5226258678756945e-07 8.026500098441146e-09 1.452691042736529e-08 1.6596862064708803e-08 0.05568613038173553
0.6840130000000001 0.6875 5.624724554408909e-07 9.752438037270761e-09 8.31957590464482e-09 2.281894655983682e-08 0.1979384923338281
0.8083790000000001 0.109375 5.025366164238991e-07 1.509030171509961e-08 3.337683189650992e-08 3.662963435936291e-08 0.3795712979835954
0.932745 0.9375 3.196592772199222e-07 1.0241025621555229e-08 4.061856380606393e-09 3.1017135881799023e-08 0.896108667528053
