# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.37309800000000004 0.9375 5.3185038581890547e-08 3.1567474908283863e-09 6.513196533412418e-10 9.223239366178049e-09 0.0007008116250839643
0.43528100000000003 0.9375 1.1129264940768766e-07 4.3352022795165e-09 9.668978191816972e-10 9.441719283910609e-09 0.0013364927548779853
0.497464 0.9375 1.9142878030750087e-07 4.514911086077128e-09 8.438171302965529e-10 9.593087138795003e-09 0.005486903352084698
0.559647 0.9375 2.7981762353801524e-07 6.91770145973203e-09 4.328563716934125e-09 8.160334388830965e-09 0.016314845469230035
0.6840130000000001 0.9375 3.8967957842689257e-07 1.2435021493961476e-08 1.863594614417585e-09 1.2573891380243832e-08 0.043518233179738915
0.8083790000000001 0.6875 3.284339673630678e-07 1.263726922910635e-08 1.5045943068059137e-08 3.9648943390833894e-08 0.1506247849421523
0.932745 0.171875 1.8675757908018667e-07 3.059853231921617e-08 1.858063619547574e-08 5.579818740549219e-08 0.20732350222910215
1.0571110000000001 0.109375 3.124743822634592e-08 2.5169904103951753e-08 2.086861859490913e-08 4.269592198825282e-08 0.47272889424097103
