# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.19284 0.1375 7.169058616566899e-08 7.181244831968223e-09 3.3597831446438923e-10 7.18909999683275e-09
0.25979833333333335 0.1375 9.245172522401205e-08 1.023578938369209e-08 2.108713653398895e-08 2.3440109033671222e-08
0.3267566666666667 0.1375 1.3457345300986166e-07 1.6335179084819243e-08 7.3820084380827375e-09 1.7925739156671916e-08
0.393715 0.1375 1.976991678416788e-07 1.9364771133290456e-08 8.314330910411971e-10 1.938261184746776e-08
0.4606733333333333 0.1375 3.214090382940964e-07 3.600030849647117e-08 1.0686875786155993e-08 3.7553049488820766e-08
0.59459 0.1375 6.23080769213434e-07 2.0209574486869998e-07 6.347246865087267e-08 2.1182880911403597e-07
0.6615483333333333 0.1375 7.423782372333772e-07 8.380003100379683e-08 2.2326913091917385e-07 2.384775671161556e-07
0.7285066666666666 0.1375 6.858622567905352e-07 6.877295120661514e-08 6.744544338120616e-08 9.63255243980273e-08
0.8624233333333333 0.1375 4.6546394997922167e-07 5.3772243860770235e-08 5.225946627602185e-09 9.402559326816031e-08
0.9963399999999999 0.1375 2.3677003086995757e-07 3.918664395810522e-08 1.8022415474525526e-08 8.31323605224166e-08
1.1302566666666665 0.1375 9.681300674081461e-08 3.3422525228623376e-08 1.875735168965773e-08 8.8326276039650284e-08
