# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.15284999999999999 0.109375 1.2954881649166264e-08 6.986372347168497e-09 3.143775488153049e-08 3.220468646896713e-08 0.009073818062347723
0.25475 0.109375 6.594267320538524e-08 9.970915735417124e-09 2.5863335497019097e-08 2.7718789360903858e-08 0.04043202472574232
0.35665 0.109375 9.196382932588721e-08 1.0209477959288861e-08 4.1555964438167305e-08 4.279172373938015e-08 0.2029415148409143
0.45855 0.6875 2.091911782682632e-07 6.654542559121307e-09 4.831985127508832e-09 8.22380793450475e-09 0.4984492868766553
0.56045 0.109375 2.9863382999747954e-07 1.252990695760047e-08 2.4302617627667884e-08 2.7342563740855728e-08 0.9295818122667993
0.66235 0.109375 2.9918535068384383e-07 1.719514331581876e-08 1.0438356955715308e-08 2.0115472889954062e-08 1.3547363675133095
0.7642500000000001 0.109375 2.3105667193394387e-07 1.2884347032204334e-08 1.3302026599320662e-08 1.8518917627531772e-08 2.708960832484323
0.86615 0.109375 1.5282078213175954e-07 1.0890782880954084e-08 6.3727039633338216e-09 1.2618260877172144e-08 3.5003755252055266
