# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.24020000000000002 0.28125 8.435656004682357e-08 2.398827288587737e-09 2.4783744522131682e-09 3.449161098855215e-09
0.3603 0.28125 1.543820760356468e-07 6.173882707159449e-09 1.0878989631763101e-08 1.2508766649425176e-08
0.42035 0.28125 2.388519369693054e-07 8.709765875846528e-09 5.6474075636473304e-09 1.0380425511606048e-08
0.48040000000000005 0.28125 3.4061707801992733e-07 6.937574063253532e-09 1.598104490808817e-08 1.7421932448424285e-08
0.5404500000000001 0.28125 4.310927785319607e-07 1.0033437011085213e-08 2.9517937461104454e-08 3.1176569570962874e-08
0.6005 0.28125 4.832262062988274e-07 1.27486372106227e-08 5.9972726744084595e-09 1.4088826433002863e-08
0.7206 0.28125 4.7213123009375897e-07 1.2091864535172552e-08 1.2950387777952209e-08 3.77179494168004e-08
0.8407 0.28125 3.72388765801405e-07 1.2182668601801994e-08 2.9216376306948287e-09 1.2528103635683425e-08
0.9608000000000001 0.28125 2.643764708434905e-07 1.3045898980452553e-08 1.8524638716146449e-09 1.317676373787625e-08
1.0809 0.28125 1.8407007265090618e-07 1.1683101830144427e-08 5.471851470750804e-09 5.2901008754802154e-08
1.201 0.28125 1.3576900729419657e-07 1.0958275432335257e-08 1.3392779353673811e-08 5.7304633462374e-08
