# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.3001215789473684 0.5340576171875 3.956086951632652e-07 1.8519407762007498e-08 3.453191273444418e-09 1.8838603818396315e-08
0.39427736842105265 34.1796875 5.185935826764917e-07 7.00030200987173e-09 1.0668770320409595e-08 1.2760363959506283e-08
0.44135526315789475 0.057220458984375 4.3809138749374337e-07 4.591378826883255e-08 6.24962148454151e-08 7.754903495982054e-08
0.48843315789473685 0.133514404296875 4.5447954558473625e-07 5.00242254058535e-08 3.37467105113794e-08 6.03428835720873e-08
0.582588947368421 0.057220458984375 4.893485170580894e-07 7.777807753493051e-08 2.110888420984634e-09 7.78067169012773e-08
0.6767447368421052 0.057220458984375 4.346475806623921e-07 8.756370428222427e-08 9.536991737846917e-08 1.2947132288040026e-07
0.7709005263157894 0.057220458984375 2.607232867851668e-07 7.44199054473361e-08 8.701457191968857e-08 1.1449828842894158e-07
0.8650563157894736 0.057220458984375 5.110669449851122e-08 6.655466165790496e-08 3.7851026381101655e-09 6.666220811208727e-08
