# estar	 lambda	 rho	 errBayes	 errBoot	 A/A0	 likelihood

0.24056999999999998 2.0 -5.273778715266662e-10 7.800288528093035e-10 6.262898692483405e-10 8.320098749548583e-05 -915.3712172831463
0.24056999999999998 1.0 -3.746297225937952e-10 9.946196329845361e-10 7.321332233074427e-10 7.27948559768796e-05 -912.2915687547153
0.24056999999999998 0.9375 -3.5394958701621414e-10 1.0183541973484603e-09 7.423064720960859e-10 7.205854798956919e-05 -911.9784435264553
0.24056999999999998 0.6875 -2.4003405971259567e-10 1.1432585582737862e-09 7.931757922875999e-10 6.887821683489627e-05 -910.429613891684
0.24056999999999998 0.4375 -3.722045244755337e-11 1.3623906214863062e-09 8.755230148663934e-10 6.505857896210798e-05 -908.0683109560405
0.24056999999999998 0.1875 3.912361924200956e-10 1.929934022451559e-09 1.0543910063450752e-09 6.000501054466636e-05 -903.3913450976668
0.24056999999999998 0.171875 4.332448835980201e-10 2.00290836659261e-09 1.0733560627809472e-09 5.9637688137613954e-05 -902.894380364156
0.24056999999999998 0.109375 6.302909477941245e-10 2.4383310435402564e-09 1.1687470735754908e-09 5.813920988057764e-05 -900.2644278001638
0.32076 2.0 -8.564042361097728e-10 1.007251992878583e-09 5.97393469959993e-10 0.0002895612901851526 -917.2126905551161
0.32076 1.0 -1.240447170937973e-09 1.342167647230203e-09 7.836588521566954e-10 0.00025876661770572176 -914.7418838184533
0.32076 0.9375 -1.287350945003311e-09 1.378539293428976e-09 8.067190503805471e-10 0.00025568051119242497 -914.467245745047
0.32076 0.6875 -1.54291834519767e-09 1.56672464492537e-09 9.353175323842656e-10 0.00024013954158697855 -913.0731842738323
0.32076 0.4375 -2.005050546774715e-09 1.88244095979066e-09 1.1832821132181416e-09 0.00021539117248503602 -910.8722637532064
0.32076 0.1875 -3.0611877182280216e-09 2.615240435827044e-09 1.8485457255127576e-09 0.0001665199349296661 -906.402868991134
0.32076 0.171875 -3.170168948793148e-09 2.7015992612436787e-09 1.929205866053292e-09 0.00016176544659651917 -905.9250386916243
0.32076 0.109375 -3.6779218344423893e-09 3.187778274246932e-09 2.374563001127912e-09 0.0001389845951338635 -903.3929261817761
0.40095000000000003 2.0 2.494277898005722e-09 2.0596579187991506e-09 1.9020578623860876e-09 0.0013055344208125904 -918.114853775488
0.40095000000000003 1.0 2.5255000713135906e-09 2.490275054413425e-09 2.4149033471090677e-09 0.0008809882482197368 -916.4274131422289
0.40095000000000003 0.9375 2.505045062096596e-09 2.5329893177187974e-09 2.4624170111081958e-09 0.0008507125149311658 -916.2031434734312
0.40095000000000003 0.6875 2.3447017425800974e-09 2.7466377771623925e-09 2.68683712407006e-09 0.0007252240726539342 -915.0117028477723
0.40095000000000003 0.4375 1.914106590520028e-09 3.0903841407552226e-09 3.0027946896521426e-09 0.0005914734308529442 -913.0150365163348
0.40095000000000003 0.1875 4.521389148579198e-10 3.893571640238311e-09 3.612013958108366e-09 0.00043440227960541116 -908.766332992833
0.40095000000000003 0.171875 2.5778691873022123e-10 3.991489225194469e-09 3.6800305440554367e-09 0.00042238917005885655 -908.3054782748723
0.40095000000000003 0.109375 -8.500478673431798e-10 4.558859762334996e-09 4.0535630679859555e-09 0.00036886253156312416 -905.856492361746
