beta,T,L,mf,mas,ω0,Δω0,p,Δp,Q,ΔQ,first,last,skip,Nconf
6.5,48,20,-0.71,-1.01,2.52,0.005,0.5851721411273487,1.6284631272334287e-5,0.380805631543977,0.1212558007355934,3006,9698,14,479
6.5,64,20,-0.7,-1.01,2.3557,0.0031,0.5842276062059237,1.1906968560468862e-5,-0.31463082712586476,0.18550060896638995,1000,15180,20,709
6.5,64,20,-0.71,-1.01,2.53,0.004,0.5851715253581662,1.2214735966238394e-5,0.5798750105197132,0.14419980612892777,1000,20524,28,698
6.5,64,32,-0.72,-1.01,2.6927,0.0031,0.5860809993220338,9.309191603341535e-6,0.8021221741821728,0.3334066359723619,3020,8900,20,295
6.5,96,20,-0.71,-1.01,2.517,0.004,0.5851557961009174,1.2658606049300129e-5,-0.5984277121026235,0.19293129648860113,4000,15288,26,436
