# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.12161999999999999 0.1375 6.697761343440836e-08 1.3016636368086742e-08 2.9173966187741656e-08 3.194609718670642e-08
0.16384916666666666 0.1375 1.2704559180794006e-07 1.7822090278435623e-08 1.7888470631518437e-09 1.791164078771279e-08
0.2060783333333333 0.1375 2.734320448299836e-07 2.6525604691964556e-08 2.975084241814104e-08 3.9858754732974694e-08
0.24830749999999996 0.1375 4.57230172890562e-07 3.3390953847727176e-08 1.2098409065522049e-07 1.2550739416676476e-07
0.2905366666666666 0.1375 6.226052476239951e-07 6.828327866757233e-08 1.9685267557278417e-07 2.0835926191498462e-07
0.33276583333333326 0.1375 7.4150232704204e-07 1.0686152706371799e-07 1.5552869815138832e-07 1.8870231030661865e-07
0.4172241666666666 0.1375 9.318292513989247e-07 1.0898250737758307e-07 2.9386090213704326e-07 3.134189157008585e-07
0.5016824999999999 0.1375 1.2682575090563435e-06 1.6704728238840743e-07 4.129543741058049e-07 4.4546168145696816e-07
0.5861408333333332 0.1375 1.6138624463332607e-06 2.3403727615496517e-07 2.2686684735240114e-07 3.259478686195894e-07
0.6705991666666665 0.1375 1.6505596036588513e-06 2.257242412962751e-07 7.133418464857702e-07 7.482031963688122e-07
0.7550574999999998 0.1375 1.3726306589864224e-06 2.2367225474620144e-07 4.0618038135391e-07 4.6369362702118024e-07
0.8395158333333331 0.1375 1.0188700002428525e-06 2.2939638472135654e-07 2.9490954818589397e-07 3.7362326337426676e-07
0.9239741666666664 0.1375 7.761618760351593e-07 2.4225475744721e-07 7.379699120688042e-07 7.767154940032065e-07
1.0084324999999998 0.1375 6.760792967052839e-07 2.520059516646865e-07 6.910963335072273e-07 7.356093677092191e-07
