# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.2133 0.9375 2.6854358801782884e-08 1.5888383950501925e-09 4.619455134259685e-10 1.6546302012715873e-09 0.0006579028809054162
0.2844 0.9375 5.161992071444112e-08 1.7652262688389919e-09 1.6621647263686421e-09 2.4246268491838845e-09 0.003057972796051482
0.3555 0.9375 7.254056835857826e-08 3.078951268099464e-09 1.4138769393837698e-09 3.3880656592003223e-09 0.01538185289996717
0.4266 0.9375 7.932882162979365e-08 5.195939171815711e-09 1.4106039470144364e-09 5.384012200259361e-09 0.026935748573016227
0.49770000000000003 0.9375 7.208204196432848e-08 4.851097631389413e-09 2.802243282188531e-09 5.6022955689469584e-09 0.07397805969569621
0.5688 0.9375 5.802154844650845e-08 4.9979770965573955e-09 9.343428492724005e-10 5.084562087112198e-09 0.1584719372779445
0.6399 0.9375 4.399614911587064e-08 6.321774093762333e-09 2.025852718439451e-09 6.638441603974014e-09 0.23833016758711995
0.711 0.171875 3.618964267298046e-08 1.2068961194327592e-08 1.7951155842814587e-08 2.1631084586844034e-08 0.2577559562788134
0.7821 0.109375 2.8386499031921545e-08 1.0626754071887785e-08 2.5006142280028392e-08 2.717048129557898e-08 0.5198397767537422
