# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.4005666666666666 0.1375 8.10883171267392e-06 9.6706407147622e-08 2.9226768951859893e-07 3.0785147639720975e-07
0.48264999999999997 0.1375 1.278786465094828e-05 1.4085761148558887e-07 3.5669647089907493e-07 3.8350128952231665e-07
0.5647333333333333 0.1375 1.716062105341041e-05 2.725920744763431e-07 3.5591704243254006e-07 4.4831169978179547e-07
0.6468166666666666 0.1375 1.8769049460090838e-05 3.080321850917863e-07 8.621571606386271e-08 3.198702498651994e-07
0.7288999999999999 0.1375 1.7762965100979514e-05 4.820111166070146e-07 2.906265699050832e-08 4.82886482068083e-07
0.8109833333333334 0.1375 1.5626585076258288e-05 6.044412039721068e-07 1.0501344965383407e-07 6.134957160954332e-07
0.97515 0.1375 1.1422674964224762e-05 6.978576076050755e-07 2.2321618209251914e-07 7.326873169642288e-07
1.1393166666666665 0.1375 7.953544139657228e-06 7.013585767097195e-07 7.09924290885935e-07 9.979460666359587e-07
1.303483333333333 0.1375 4.893135663646705e-06 7.042028570042652e-07 1.0308547536041306e-06 1.2484242815810666e-06
1.46765 0.1375 2.4630961199375128e-06 7.631377593496508e-07 3.025006174409495e-07 8.209055142325219e-07
1.6318166666666665 0.1375 8.107132514794884e-07 7.043847275724132e-07 6.580639532987318e-07 9.639533241129562e-07
