# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.3328 0.5340576171875 1.6417840391481277e-07 1.3083498761496083e-08 5.446229387061798e-09 1.4171780212046935e-08
0.37439999999999996 0.5340576171875 1.8119803021391815e-07 1.6621877995925486e-08 1.8501549644193624e-09 1.6724529933717046e-08
0.4576 2.13623046875 2.2184174101827034e-07 1.1380112452554597e-08 1.2189620783216279e-08 1.6676145066273753e-08
0.4992 13.427734375 2.290130403104266e-07 6.29429601487026e-09 2.942305593537156e-09 6.948044655050201e-09
0.6656 0.133514404296875 2.3203746170500488e-07 3.770452095012466e-08 3.099998098413888e-08 4.8812188243259095e-08
0.7488 0.133514404296875 1.7803430196813423e-07 3.104269021864714e-08 6.136099526452136e-08 6.87664188093542e-08
0.832 0.133514404296875 9.927945597588641e-08 2.5576716670999132e-08 4.84628687204138e-08 5.479797514763322e-08
0.9152 0.133514404296875 2.574085405128418e-08 2.9180205066270415e-08 5.371824857675384e-09 2.967053875498611e-08
