# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.2754740526315789 0.00732421875 3.188686531569137e-07 1.2428857533041691e-07 1.3646534231570368e-07 1.8458179653207114e-07
0.32296957894736844 0.00732421875 3.6803048624792306e-07 2.003106601247089e-07 5.989529530960482e-08 2.0907368787061994e-07
0.5129516842105263 0.00732421875 2.736076600638186e-06 2.4936380354701465e-07 3.518614611703607e-07 4.3126418165247084e-07
0.6079427368421052 0.00732421875 3.026503928132191e-06 1.8568915192234488e-07 2.2207462130553742e-07 4.894781486911189e-07
0.6554382631578947 0.00732421875 2.974333055011664e-06 2.6313054508448594e-07 5.772644208934335e-07 6.344067270969703e-07
0.7504293157894737 0.00732421875 2.552044261067807e-06 3.583384090379699e-07 1.5078700510587312e-06 4.549864028317234e-07
0.7979248421052632 0.00732421875 2.419230982449174e-06 3.501827424907933e-07 1.8636680105688518e-07 3.96686951732156e-07
0.8929158947368421 0.00732421875 1.7015456121042886e-06 2.4062465427620234e-07 6.791371423355259e-07 7.205050189590676e-07
0.987906947368421 0.00732421875 9.457873383965958e-07 2.6982963419399143e-07 1.0412335896689174e-06 1.075627918819553e-06
1.082898 0.00732421875 3.209684046827914e-07 3.411085201010339e-07 6.413219543643548e-07 7.26394432546969e-07
