# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.15284999999999999 0.171875 -3.344186494134082e-10 8.537318033353381e-10 8.04050023042739e-09 8.085697369276762e-09 0.0008825850454857989
0.20379999999999998 0.171875 3.3999309773775695e-09 1.1701102293434727e-09 8.60887918789248e-09 8.688035383246464e-09 0.00044523036693045034
0.30569999999999997 0.9375 2.0921987647151776e-08 2.0848580508752464e-09 2.7729228001277118e-09 3.469255532209676e-09 0.0014114720373011396
0.4076 0.9375 5.500742258234748e-08 3.3763768260557373e-09 2.655870162754936e-09 4.295761491626152e-09 0.004746251163443397
0.5095000000000001 0.9375 9.867108661575471e-08 3.3224383064686465e-09 5.3775272361787286e-09 6.321107140061327e-09 0.028050910155146547
0.6113999999999999 0.6875 1.206036080446433e-07 6.3954738395195075e-09 2.1883738619230356e-10 6.399216782823807e-09 0.06343228995506824
0.7133 0.9375 1.0593411421183082e-07 6.653907261753525e-09 2.361871906685758e-09 7.060660079029985e-09 0.13249978933929124
0.8151999999999999 0.171875 6.886082828788771e-08 1.3108786205927609e-08 3.195892148611523e-10 1.3112681383263056e-08 0.187216598583404
0.9171 0.109375 3.231016506217356e-08 1.411312826833753e-08 3.67334744912089e-08 3.935134734306873e-08 0.4249135004249821
1.0190000000000001 0.109375 8.842105363083576e-09 1.340990353648829e-08 2.9670058703568766e-08 3.2559758849400865e-08 0.5853790198108998
1.1209 0.109375 4.332719931998984e-10 1.3570629034667284e-08 3.04575377037341e-09 1.3908220174641273e-08 0.7257429505852304
