# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.31848333333333334 0.1375 1.1473003826399312e-06 6.260388957153568e-08 9.156833519939508e-08 1.1092342854723618e-07
0.4005666666666666 0.1375 1.320033738227278e-06 1.0688987406879058e-07 9.366195613714141e-07 9.426991290555126e-07
0.48264999999999997 0.1375 2.019060799486637e-06 5.09251572868931e-08 2.3850654242564516e-07 2.4388264067893574e-07
0.5647333333333333 0.1375 3.047216466065265e-06 9.264068229371516e-08 1.8333193150880888e-07 2.054090872541808e-07
0.6468166666666666 0.1375 4.349073338743427e-06 1.34318090863681e-07 1.1087234142861858e-07 1.7416666049255303e-07
0.7288999999999999 0.1375 5.9382056240183825e-06 2.1264782974837553e-07 1.777112253564363e-07 2.771288132157683e-07
0.8930666666666667 0.1375 8.268381851715627e-06 2.93054192910681e-07 1.1935682102223272e-07 3.164282078245616e-07
1.0572333333333332 0.1375 7.816255865314407e-06 3.4014288445058347e-07 4.1368345152166367e-07 5.355662236411476e-07
1.2213999999999998 0.1375 5.7906954821039435e-06 3.0967364441868254e-07 1.667847891645002e-07 3.517313348909867e-07
1.3855666666666666 0.1375 3.923792124601164e-06 3.2109187601426165e-07 2.99512065104236e-07 4.3909847413235465e-07
1.5497333333333332 0.1375 2.7805804920011876e-06 3.2279710382950887e-07 6.249288852000306e-07 7.03373358749158e-07
1.7138999999999998 0.1375 2.225959501749061e-06 2.753442185263213e-07 7.07689883307932e-07 7.593677696691274e-07
