# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.22206 0.00732421875 7.771392313782157e-07 1.4191756696249627e-07 1.1925361730804524e-07 5.8536995725739465e-07
0.33309 0.00732421875 1.0380670793692625e-06 1.4842479157838654e-07 1.6456845240090654e-07 3.2161384045387807e-07
0.3701000000000001 0.00732421875 9.912424878301395e-07 1.8570368823327426e-07 8.891786480554031e-08 2.0589377480880154e-07
0.4071100000000001 0.00732421875 9.692870718692449e-07 1.651640252325955e-07 4.141826393492842e-08 1.7027808966046347e-07
0.44412000000000007 0.00732421875 9.971553199897559e-07 1.2433834362481355e-07 1.4911233539610867e-07 1.9415074623251855e-07
0.51814 0.2734375 1.1082776165533547e-06 4.942022107984253e-08 1.6274603578795557e-08 5.203096167886442e-08
0.5921600000000001 0.00732421875 1.24096050703533e-06 2.0629244308453494e-07 8.47732207284499e-08 2.230315471552412e-07
0.6661800000000001 0.00732421875 1.1142831687611961e-06 1.9790403316275826e-07 2.2561938358830323e-07 3.001168315720597e-07
0.7402000000000001 0.00732421875 7.966135892305903e-07 1.7471130126919407e-07 1.6367168714214093e-07 2.3940020877837584e-07
0.81422 0.00732421875 4.1031204782063023e-07 1.5810164682113161e-07 1.9123584686029338e-08 1.5925401790472218e-07
