# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.16343999999999997 0.1375 2.57068386697369e-08 2.4961502268798854e-08 2.981113830389468e-08 3.888162242614352e-08
0.22018999999999997 0.1375 3.9576613541619704e-08 2.6013795540784256e-08 1.7149851434010302e-08 3.115822463887107e-08
0.27693999999999996 0.1375 8.46509963901212e-08 3.001175698444719e-08 2.6225483718421997e-09 3.012612350197361e-08
0.33368999999999993 0.1375 1.9063060052100908e-07 3.0439955145744634e-08 2.8800338328910833e-08 4.190525452893319e-08
0.3904399999999999 0.1375 3.7463751749457006e-07 3.577966671377385e-08 4.234188305844236e-08 5.543482309057678e-08
0.4471899999999999 0.1375 6.17033126893543e-07 5.820482016607103e-08 1.8097313332945177e-08 6.095337431541805e-08
0.5039399999999998 0.1375 8.624107829973082e-07 8.18166438247623e-08 4.790017433119205e-08 1.480711949904715e-07
0.6174399999999999 0.1375 1.1344225613296547e-06 9.524540973717445e-08 1.5421078244014225e-07 2.8125300962136637e-07
0.7309399999999999 0.1375 1.0540936644128293e-06 1.1769596227706097e-07 2.2829176393169565e-08 1.1988957765841787e-07
0.8444399999999999 0.1375 8.91019488974375e-07 1.3810818721281795e-07 3.0752719549183253e-07 3.371154807217885e-07
0.9579399999999998 0.1375 8.33663619587148e-07 1.4827168652468018e-07 3.1181621502534013e-07 3.452735799009275e-07
1.0714399999999997 0.1375 8.388804613993346e-07 1.553122251874032e-07 1.7605633917542972e-08 1.5630689568378353e-07
1.1849399999999999 0.1375 8.105413648877336e-07 1.3880641330849276e-07 3.0595772325670304e-07 3.359722440857182e-07
