# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.19284 0.1375 2.5356456535080975e-07 8.46057034718973e-09 1.6709196550705688e-08 1.8729081663815262e-08
0.25979833333333335 0.1375 3.578778459683778e-07 2.8399796175840623e-08 2.4532741297054604e-07 2.469657627640927e-07
0.3267566666666667 0.1375 4.2559568068831353e-07 3.1729525084101535e-08 3.28106453339911e-08 4.564319455620499e-08
0.393715 0.1375 6.676431933712389e-07 2.0156157195122883e-08 5.240270138265993e-08 5.6145469853539674e-08
0.4606733333333333 0.1375 1.099449488157292e-06 5.6213925277159294e-08 4.219709360571349e-08 2.228940250020193e-07
0.59459 0.1375 2.5987773541216435e-06 1.0656494937563747e-06 2.258536937397835e-06 11.497318149762583e-07
0.7285066666666666 0.1375 2.5269969115948365e-06 9.909877045697677e-08 7.215586470430861e-08 1.2258480785689172e-07
0.8624233333333333 0.1375 1.8659993549056205e-06 9.112329403147825e-08 1.0187818044023661e-07 5.366843749847094e-07
0.9963399999999999 0.1375 1.0260538407752269e-06 9.933189891106417e-08 1.2360346377165846e-07 4.5857062274466087e-07
1.1302566666666665 0.1375 4.912937770723823e-07 9.295444748991736e-08 2.1605637190851497e-07 2.352039224809534e-07
1.2641733333333334 0.1375 2.530737549559962e-07 9.175102424696118e-08 1.3509557389094331e-07 1.633066579637517e-07
