# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.29742631578947365 0.0234375 3.9790194017617876e-07 1.0144209999616509e-07 1.3310064342550147e-07 1.6735077212822906e-07
0.3556184210526316 0.0234375 8.41712700784849e-07 2.2911080565222384e-07 2.4457496956811124e-07 3.3512486778192637e-07
0.4138105263157895 0.0234375 9.169889031281627e-07 2.0908118073876851e-07 1.2022031619607425e-08 2.094265250234087e-07
0.4720026315789474 0.0234375 7.275658220937896e-07 1.9890233202567542e-07 4.277363595712244e-07 4.7172081890085776e-07
0.5301947368421053 0.0234375 5.441393958881736e-07 3.079381257028137e-07 5.722979442001426e-07 6.49885240790304e-07
0.5883868421052632 0.0234375 4.808087588111677e-07 3.2343365756116304e-07 2.0816759379242438e-07 3.8463369320526184e-07
0.6465789473684211 0.0234375 5.030173496632385e-07 2.566563753025115e-07 3.840390124746677e-07 4.6190741289347324e-07
0.7629631578947369 0.0234375 5.930259296472359e-07 2.722941325900621e-07 7.716826836422145e-07 8.183142787928268e-07
0.8793473684210527 0.0234375 6.55924187752059e-07 2.715585601528703e-07 7.163154375255358e-08 2.808471642240207e-07
0.9957315789473685 0.0234375 6.742610936906103e-07 2.0089651867911168e-07 7.309386169021861e-07 7.580439782072459e-07
